Municipios,Agropecuaria,Industria,Adm_pub,T_ex_adm_pub ,Total,Impostos,PIB,PIBpc
Guarulhos,32570,11438406,5445474,33772291,50688741,10636984,61325724,41963
Guatapará,78283,15255,39568,64187,197292,15568,212860,29779
Guzolândia,13653,3958,23492,22575,63677,2143,65821,12847
Herculândia,60765,90153,37265,102554,290737,23235,313972,38161
Holambra,274252,153553,73103,380410,881318,88735,970053,67498
Hortolândia,1016,3905026,920178,5805358,10631579,2484815,13116393,55744
Iacanga,65385,40115,51699,222632,379831,48124,427955,47596
Iacri,70841,18115,25641,64431,179028,12414,191441,32690
Iaras,41496,8878,35749,56490,142613,9922,152536,20517
Ibaté,36409,244374,129715,361987,772486,76708,849194,27360
Ibirá,36952,42378,51788,106928,238045,13061,251106,21076
Ibirarema,33296,19852,29218,83384,165749,17788,183537,24930
Ibitinga,87906,371003,211971,729512,1400392,123366,1523757,26064
Ibiúna,265928,277808,297035,728335,1569106,132819,1701924,21664
Icém,17924,36780,39435,74382,168521,5269,173791,22936
Iepê,39757,13404,38810,125355,217326,29933,247259,31366
Igaraçu do Tietê,11945,18227,89065,167551,286788,16637,303425,12478
Igarapava,67045,166276,115473,683520,1032313,147360,1179673,37291
Igaratá,1622,19240,44624,97270,162755,17888,180642,23160
Iguape,77414,546011,127465,396469,1147359,22461,1169820,27632
Ilha Comprida,3829,854690,87401,381733,1327652,12316,1339968,69142
Ilha Solteira,50864,33217,130285,379023,593388,31955,625343,24463
Ilhabela,2991,10150556,250099,3877483,14281129,120095,14401225,189905
Indaiatuba,28375,4701156,1030187,6577474,12337191,3259114,15596305,59436
Indiana,10555,3142,21485,26409,61591,2539,64130,12898
Indiaporã,23697,5611,20216,41995,91519,4031,95550,24421
Inúbia Paulista,7656,6889,19806,89529,123880,14381,138262,36535
Ipaussu,29674,87368,62254,162672,341968,31043,373011,26776
Iperó,12521,171281,133581,251005,568387,80046,648433,17776
Ipeúna,16879,389941,32233,183691,622743,73550,696293,113399
Ipiguá,23791,18340,23482,32461,98074,9392,107466,21650
Iporanga,5452,2395,23230,18546,49622,1652,51274,11822
Ipuã,68181,38204,72477,157790,336652,22201,358853,25734
Iracemápolis,16934,675747,98611,560729,1352022,638575,1990597,81027
Irapuã,61502,9411,31375,50185,152474,4272,156746,19275
Irapuru,13930,2503,29982,38238,84654,3407,88061,11630
Itaberá,143399,26423,69986,244861,484669,36792,521462,30476
Itaí,145027,52488,114384,246691,558590,42477,601068,22335
Itajobi,211969,709159,68874,457537,1447540,151769,1599309,89132
Itaju,24964,10584,19568,26908,82023,5300,87324,30689
Itanhaém,38645,138403,459241,1148190,1784479,101152,1885631,19187
Itaóca,3678,6961,16391,12530,39560,1739,41299,12503
Itapecerica da Serra,15473,697123,613617,1924630,3250843,410095,3660938,19460
Itapetininga,245550,1046455,587588,2374990,4254583,499566,4754148,27585
Itapeva,538045,258046,376547,1176436,2349074,172900,2521974,26212
Itapevi,251,2576307,863301,6592388,10032247,2139814,12172061,48933
Itapira,53932,1517715,306411,1557095,3435152,470400,3905552,48759
Itapirapuã Paulista,2584,1893,20767,15323,40566,1541,42108,9543
Itápolis,172832,233955,162622,628005,1197413,111339,1308752,33049
Itaporanga,32945,12339,57766,187361,290410,30692,321102,20710
Itapuí,16578,203933,56154,283487,560152,105260,665412,48331
Itapura,30068,4093,26231,28045,88437,3071,91508,21953
Itaquaquecetuba,9029,1642942,1205896,3421610,6279477,933083,7212560,19402
Itararé,74816,89940,179450,473250,817456,61428,878884,18145
Itariri,100692,12013,62131,91395,266231,9944,276174,15928
Itatiba,506475,1703452,480747,2257143,4947818,1103366,6051184,47953
Itatinga,77986,78420,80203,144874,381483,28910,410393,16280
Itirapina,47602,36322,83114,184367,351405,59782,411187,22820
Itirapuã,27665,7974,27616,33235,96490,2084,98574,12914
Itobi,22518,9820,26918,58016,117272,7535,124807,16300
Itu,34689,1832248,701046,3767064,6335047,1496451,7831498,44311
